id,title,view_count,upload_date,duration,channel,elapsed_days,views_per_day,included,exclusion_reasons,published_mark,own_row,own_title,match_basis,source_file,sha256
-TvXOgK3Zak,広告なし【スミレの朗読】『白』(芥川 龍之介),,20251204,1685,生きて山から帰るには【山岳遭難解説】,282,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_-TvXOgK3Zak.json,cea8718706f71ba17b1968449dfe8fcb1409213300d351970e37762413cd2d9a
11YhDQcc-C0,【広告なし】睡眠・作業用遭難事例5選⑦,,20251228,6749,生きて山から帰るには【山岳遭難解説】,258,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_11YhDQcc-C0.json,5936222874dc37eeef599c7cb17767346a8d5894f931b9f26361f12324dbab1b
3d8vxOgRgZ8,【被害急増】いま知りたい。命を守るクマ対策 【緊急クマ特集4選】,194952,20250726,5977,生きて山から帰るには【山岳遭難解説】,413,472.03874092009687,False,['複数選'],,,,,video_full_default_3d8vxOgRgZ8.json,62185461ca0e2587095dc2dbd0a29594f4ab0f704fdb708d016292c484bd07ce
49cv_bHuFAY,【大規模遭難6選】「救助要請はしない」ヤバすぎるツアー会社。トムラウシ山遭難事故2009年【地図とアニメで解説】,365014,20250301,11736,生きて山から帰るには【山岳遭難解説】,560,651.8107142857143,False,['複数選'],,,,,video_full_default_49cv_bHuFAY.json,f04063a51fa985aaebe4df181ac887c5e812973636d87e2499d2c67ac57c952d
5uvAIsj-K7U,【低体温遭難4選】忠告無視、添乗員の正体…吾妻連峰遭難事故1999年9月,634635,20250517,6061,生きて山から帰るには【山岳遭難解説】,483,1313.944099378882,False,['複数選'],,,,,video_full_default_5uvAIsj-K7U.json,cad2cfd97193c6a6a0520f072bbe0b384c385e3b699ad3238e718bd7c97ca866
8LrxqRuAjhc,救助してください♪ 逆切れ登山者大炎上 2023年至仏山 苗場山/2022年達磨山 富士山/2017年御在所岳【地図とアニメで解説】,350846,20250216,1365,生きて山から帰るには【山岳遭難解説】,573,612.2966841186736,False,['至仏山・苗場山・達磨山・富士山・御在所岳の複数事例'],,,,,video_full_default_8LrxqRuAjhc.json,31e54c58c145cc369fa011cf200baf9092df67e76a9db5cb51f5ed80a8d692f3
B8YNoUzWYpM,広告なし【スミレの朗読】『文士の生活』(夏目漱石),,20250825,872,生きて山から帰るには【山岳遭難解説】,383,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_B8YNoUzWYpM.json,ac95f5ff942c5ad347f8204698be2b1c48c3d6ee3dcb555b7a07aa895238aec9
CJstS1SoqOg,【広告なし】睡眠・作業用朗読集①,,20250930,4302,生きて山から帰るには【山岳遭難解説】,347,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_CJstS1SoqOg.json,a2b72b7258bba1a0e13db3309cff82a26480df16e658fce4f436e89ff408a0a8
Cu5JqBRRrF8,【広告なし】睡眠・作業用遭難事例6選③,,20250724,7667,生きて山から帰るには【山岳遭難解説】,415,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_Cu5JqBRRrF8.json,f0b78bd7a7917ea11e889eb91dda3e60dd800c19b4f419dc3d4c5bf8d60d2f9d
DlVypKuttzY,"インバウンドの闇…違法！?バックカントリースキー 八方尾根2024年,白馬乗鞍岳2023年遭難事故【地図とアニメで解説】",395004,20250112,1292,生きて山から帰るには【山岳遭難解説】,608,649.6776315789474,False,['八方尾根2024年と白馬乗鞍岳2023年の複数事例'],,,,,video_full_default_DlVypKuttzY.json,07dba9622238fa597fa3988890bd9a1a67aa878353f9bfa09ff1c697470b3199
DuC_C5NVr8E,消えた人との境界…観光地のクマ 岳沢2024年、上高地2020年【地図とアニメで解説】,746630,20240908,2002,生きて山から帰るには【山岳遭難解説】,734,1017.2070844686649,False,['岳沢2024年と上高地2020年の複数事例'],,,,,video_full_default_DuC_C5NVr8E.json,f7d001d6b9bbc5d34a060cfc8d875cf75ff7efcd4b036b148fa1d4e7f8766fb3
E3qqMv5j0sI,広告なし【スミレの怪談】妙な話（芥川龍之介）,,20250720,1095,生きて山から帰るには【山岳遭難解説】,419,,False,"['メンバーシップ限定', '怪談']",,,,,video_full_default_E3qqMv5j0sI.json,6fd02e8da8156cee35828b8a9fccd8c3651d041a1f1e537bf0c5060da0977239
EjmclrTnUQI,【壮絶】絶望からの生還9選【地図とアニメで解説】,326060,20250726,14377,生きて山から帰るには【山岳遭難解説】,413,789.4915254237288,False,['複数選'],,,,,video_full_default_EjmclrTnUQI.json,031de839d71e532f1832673e232ff95954e0499c6d35bed678a3713224a21769
EzMRXlBu_RY,広告なし【スミレの怪談】夢十夜 第一夜（夏目漱石）,,20250720,642,生きて山から帰るには【山岳遭難解説】,419,,False,"['メンバーシップ限定', '怪談']",,,,,video_full_default_EzMRXlBu_RY.json,bbc882680af7fd30a2762acd129c77ad4653dc19475a47c6c4facdb0d5eaa3f0
H-HmTVWaNjg,【遭難対策19選】2024年総集編 8時間超え！【地形図とアニメで解説】,278283,20241207,29874,生きて山から帰るには【山岳遭難解説】,644,432.1164596273292,False,"['総集編', '複数選']",,,,,video_full_default_H-HmTVWaNjg.json,a9c6d0989a49de973a41ba2c30db990d5c434d2560aaa5e0aba65f18387289a2
K84NBADwIvk,広告なし【スミレの朗読】雪女 （小泉八雲）,,20250405,922,生きて山から帰るには【山岳遭難解説】,525,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_K84NBADwIvk.json,da2f3d54b186b590a4db14a39cef5e1947838c96446d0d5d93606f1a9e551982
NFWF3YOv7mY,【遭難数ギネス記録】ヤバすぎる人食い山、死者数820超【地図とアニメで解説】,1673140,20241229,1580,生きて山から帰るには【山岳遭難解説】,622,2689.935691318328,False,['概要欄・章立てが谷川岳の宙づり事故、雪崩、男女の遭難など複数事例'],,,,,video_full_default_NFWF3YOv7mY.json,c9ad70fa800fe1816b51f622a64cbccc8cc1e1f80840130565f481a3d4126ec2
Nsmv3wF005E,母の目の前で…絵描き山ガールの過ち…奥多摩滑落事故2003年【滑落遭難4選】,144611,20251013,5103,生きて山から帰るには【山岳遭難解説】,334,432.9670658682635,False,['複数選'],,,,,video_full_default_Nsmv3wF005E.json,12f4d56aa9550aef9a6b6688f5dcece18e1414d614394182860b947c571ef7bb
Oe8csbT6O9U,死者数820超…遭難数ギネス記録【視聴者が選ぶ心に残る動画総集編①】,335156,20260124,8460,生きて山から帰るには【山岳遭難解説】,231,1450.891774891775,False,['総集編'],,,,,video_full_default_Oe8csbT6O9U.json,2d3d68ba216349d51ff3135f7787395aace6428863138f167028408420daee4f
Oq6bATE_Ql4,広告なし【スミレの朗読】『桜の森の満開の下』(坂口 安吾),,20260402,2293,生きて山から帰るには【山岳遭難解説】,163,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_Oq6bATE_Ql4.json,a6a21bb153e7f76b2de0870ac0a80eb3e9f05c8a50f1f5e7770f1e3ef3c79429
R0zYVdglwY0,【広告なし】立山遭難事故 現地取材動画 ノーカット版,,20260214,5447,生きて山から帰るには【山岳遭難解説】,210,,False,"['メンバーシップ限定', 'ノーカット']",,,,,video_full_default_R0zYVdglwY0.json,db69625ac47d9132d9e537964d0dbd83d68087d4ff7ae106e7ba025f50f7ce80
V022WlFGahU,命を奪う死の一突き。アナフィラキシーショックで死亡…鞍掛山2024年9月他【地図とアニメで解説】,368289,20250504,1260,生きて山から帰るには【山岳遭難解説】,496,742.5181451612904,False,['鞍掛山2024年9月ほかのハチ被害事例'],,,,,video_full_default_V022WlFGahU.json,a02d5c9ba054cef0f5ca935891dd70ffa76cfb10ca05a14e4c409b3869701b9c
